Name,Weekly Salary,Base Salary,ADJ Salary,Team,year
Erik Pieters,37500,1950000,2325520,Stoke City,2015
Sebastien Bassong,37500,1950000,2325520,Norwich,2015
Graziano Pelle,37000,1924000,2294513,Southampton,2015
Jack Rodwell,37000,1924000,2294513,Sunderland,2015
Wayne Routledge,36000,1872000,2232499,Swansea,2015
John Ruddy,36000,1872000,2232499,Norwich,2015
Alexandre Pato,35827,1863000,2221766,Chelsea,2015
Peter Odemwingie,35000,1820000,2170485,Stoke City,2015
James Collins,35000,1820000,2170485,West Ham,2015
Emmanuel Riviere,35000,1820000,2170485,Newcastle,2015
Vurnon Anita,35000,1820000,2170485,Newcastle,2015
Darron Gibson,35000,1820000,2170485,Everton,2015
Steven Naismith,35000,1820000,2170485,Norwich,2015
Glen Johnson,35000,1820000,2170485,Stoke City,2015
Ibrahim Afellay,35000,1820000,2170485,Stoke City,2015
Kieran Trippier,35000,1820000,2170485,Tottenham,2015
Oriol Romeu,35000,1820000,2170485,Southampton,2015
Mile Jedinak,35000,1820000,2170485,Crystal Palace,2015
Troy Deeney,35000,1820000,2170485,Watford,2015
Kasper Schmeichel,35000,1820000,2170485,Leicester,2015
Jonjo Shelvey,35000,1820000,2170485,Newcastle,2015
Jack Colback,35000,1820000,2170485,Newcastle,2015
Marc Albrighton,35000,1820000,2170485,Leicester,2015
Henri Saivet,35000,1820000,2170485,Newcastle,2015
Mark Schwarzer,35000,1820000,2170485,Leicester,2015
Joselu,35000,1820000,2170485,Stoke City,2015
Marko Arnautovic,35000,1820000,2170485,Stoke City,2015
Shinji Okazaki,35000,1820000,2170485,Leicester,2015
Steven Naismith,35000,1820000,2170485,Everton,2015
Jose Manuel Jurado,35000,1820000,2170485,Watford,2015
Jack Cork,35000,1820000,2170485,Swansea,2015
Charlie Adam,35000,1820000,2170485,Stoke City,2015
Joel Ward,35000,1820000,2170485,Crystal Palace,2015
Leroy Fer,35000,1820000,2170485,Swansea,2015
Wilfried Zaha,35000,1820000,2170485,Crystal Palace,2015
Manuel Lanzini,35000,1820000,2170485,West Ham,2015
Scott Sinclair,35000,1820000,2170485,Aston Villa,2015
Jason Puncheon,35000,1820000,2170485,Crystal Palace,2015
Eric Dier,35000,1820000,2170485,Tottenham,2015
Leon Britton,35000,1820000,2170485,Swansea,2015
Adrian,35000,1820000,2170485,West Ham,2015
Geoff Cameron,35000,1820000,2170485,Stoke City,2015
Carlos Sanchez,35000,1820000,2170485,Aston Villa,2015
Jordon Ibe,35000,1820000,2170485,Liverpool,2015
Sebastian Larsson,35000,1820000,2170485,Sunderland,2015
Yoan Gouffran,35000,1820000,2170485,Newcastle,2015
Fraizer Campbell,35000,1820000,2170485,Crystal Palace,2015
Victor Wanyama,34000,1768000,2108471,Southampton,2015
Steven Davis,34000,1768000,2108471,Southampton,2015
Alex McCarthy,34000,1768000,2108471,Crystal Palace,2015
Claudio Yacob,33000,1716000,2046457,West Bromwich,2015
James Chester,33000,1716000,2046457,West Bromwich,2015
Stephen Ireland,32500,1690000,2015450,Stoke City,2015
Jordan Ayew,32500,1690000,2015450,Aston Villa,2015
Jan Vertonghen,32135,1671000,1992792,Tottenham,2015
Victor Anichebe,32000,1664000,1984444,West Bromwich,2015
Nathan Dyer,32000,1664000,1984444,Leicester,2015
Chris Brunt,32000,1664000,1984444,West Bromwich,2015
Artur Boruc,32000,1664000,1984444,Bournemouth,2015
Angel Rangel,32000,1664000,1984444,Swansea,2015
Billy Jones,32000,1664000,1984444,Sunderland,2015
Neil Taylor,32000,1664000,1984444,Swansea,2015
Kyle Naughton,32000,1664000,1984444,Swansea,2015
Nathan Dyer,32000,1664000,1984444,Swansea,2015
Phil Bardsley,31000,1612000,1922430,Stoke City,2015
Jefferson Montero,30000,1560000,1860416,Swansea,2015
Florin Gardos,30000,1560000,1860416,Southampton,2015
John Stones,30000,1560000,1860416,Everton,2015
Jores Okore,30000,1560000,1860416,Aston Villa,2015
Timm Klose,30000,1560000,1860416,Norwich,2015
Joel Campbell,30000,1560000,1860416,Arsenal,2015
Matt Jarvis,30000,1560000,1860416,West Ham,2015
Matt Jarvis,30000,1560000,1860416,Norwich,2015
Pape Souare,30000,1560000,1860416,Crystal Palace,2015
Jordan Amavi,30000,1560000,1860416,Aston Villa,2015
Andrej Kramaric,30000,1560000,1860416,Leicester,2015
Francis Coquelin,30000,1560000,1860416,Arsenal,2015
Victor Moses,30000,1560000,1860416,West Ham,2015
Brede Hangeland,30000,1560000,1860416,Crystal Palace,2015
Victor Moses,30000,1560000,1860416,Chelsea,2015
Jeffrey Schlupp,30000,1560000,1860416,Leicester,2015
Jonathan Walters,30000,1560000,1860416,Stoke City,2015
Odion Ighalo,30000,1560000,1860416,Watford,2015
Marc Wilson,30000,1560000,1860416,Stoke City,2015
Gabriel Obertan,30000,1560000,1860416,Newcastle,2015
Adam Bogdan,30000,1560000,1860416,Liverpool,2015
Chancel Mbemba,30000,1560000,1860416,Newcastle,2015
Rudy Gestede,30000,1560000,1860416,Aston Villa,2015
Idrissa Gueye,30000,1560000,1860416,Aston Villa,2015
James Morrison,30000,1560000,1860416,West Bromwich,2015
Jose Holebas,30000,1560000,1860416,Watford,2015
Jan Kirchhoff,30000,1560000,1860416,Sunderland,2015
Adam Federici,30000,1560000,1860416,Bournemouth,2015
Ciaran Clark,30000,1560000,1860416,Aston Villa,2015
Ben Davies,30000,1560000,1860416,Tottenham,2015
Jon Flanagan,30000,1560000,1860416,Liverpool,2015
Brad Guzan,30000,1560000,1860416,Aston Villa,2015
Sylvain Distin,30000,1560000,1860416,Bournemouth,2015
Ashley Westwood,30000,1560000,1860416,Aston Villa,2015
Aaron Cresswell,30000,1560000,1860416,West Ham,2015
Alan Hutton,30000,1560000,1860416,Aston Villa,2015
Mohamed Elneny,30000,1560000,1860416,Arsenal,2015
Jordi Amat,30000,1560000,1860416,Swansea,2015
Cheikhou Kouyate,30000,1560000,1860416,West Ham,2015
Kevin Wimmer,30000,1560000,1860416,Tottenham,2015
Danny Rose,30000,1560000,1860416,Tottenham,2015
Lewis Grabban,29000,1508000,1798402,Bournemouth,2015
Lewis Grabban,29000,1508000,1798402,Norwich,2015
Maarten Stekelenburg,28500,1482000,1767395,Southampton,2015
Ola Toivonen,28019,1457000,1737581,Sunderland,2015
Craig Gardner,28000,1456000,1736388,West Bromwich,2015
Jordan Veretout,28000,1456000,1736388,Aston Villa,2015
Maya Yoshida,28000,1456000,1736388,Southampton,2015
Glenn Murray,28000,1456000,1736388,Crystal Palace,2015
Jordon Mutch,28000,1456000,1736388,Crystal Palace,2015
Carles Gil,28000,1456000,1736388,Aston Villa,2015
Glenn Murray,28000,1456000,1736388,Bournemouth,2015
Callum McManaman,28000,1456000,1736388,West Bromwich,2015
Graham Dorrans,27000,1404000,1674374,Norwich,2015
Benik Afobe,27000,1404000,1674374,Bournemouth,2015
Gareth McAuley,26000,1352000,1612360,West Bromwich,2015
Dwight Gayle,26000,1352000,1612360,Crystal Palace,2015
Miguel Britos,25000,1300000,1550347,Watford,2015
Leandro Bacuna,25000,1300000,1550347,Aston Villa,2015
Tiago Ilori,25000,1300000,1550347,Aston Villa,2015
Kenedy,25000,1300000,1550347,Chelsea,2015
Lee Chung-Yong,25000,1300000,1550347,Crystal Palace,2015
Joe Ledley,25000,1300000,1550347,Crystal Palace,2015
Julian Speroni,25000,1300000,1550347,Crystal Palace,2015
Martin Kelly,25000,1300000,1550347,Crystal Palace,2015
Muhamed Besic,25000,1300000,1550347,Everton,2015
Tony Hibbert,25000,1300000,1550347,Everton,2015
Andy King,25000,1300000,1550347,Leicester,2015
Danny Drinkwater,25000,1300000,1550347,Leicester,2015
Danny Simpson,25000,1300000,1550347,Leicester,2015
Matty James,25000,1300000,1550347,Leicester,2015
Divock Origi,25000,1300000,1550347,Liverpool,2015
Tiago Ilori,25000,1300000,1550347,Liverpool,2015
Alexander Tettey,25000,1300000,1550347,Norwich,2015
Cameron Jerome,25000,1300000,1550347,Norwich,2015
Martin Olsson,25000,1300000,1550347,Norwich,2015
Nathan Redmond,25000,1300000,1550347,Norwich,2015
Russell Martin,25000,1300000,1550347,Norwich,2015
Glenn Whelan,25000,1300000,1550347,Stoke City,2015
Marc Muniesa,25000,1300000,1550347,Stoke City,2015
Adam Matthews,25000,1300000,1550347,Sunderland,2015
Costel Pantilimon,25000,1300000,1550347,Sunderland,2015
Patrick van Aanholt,25000,1300000,1550347,Sunderland,2015
Costel Pantilimon,25000,1300000,1550347,Watford,2015
Craig Dawson,25000,1300000,1550347,West Bromwich,2015
James McClean,25000,1300000,1550347,West Bromwich,2015
Saido Berahino,25000,1300000,1550347,West Bromwich,2015
Joseph O'Brien,25000,1300000,1550347,West Ham,2015
Michail Antonio,25000,1300000,1550347,West Ham,2015
Sam Byram,25000,1300000,1550347,West Ham,2015
Bryan Oviedo,24192,1258000,1500258,Everton,2015
Aly Cissokho,24000,1248000,1488333,Aston Villa,2015
Valentin Roberge,23500,1222000,1457326,Sunderland,2015
Andre Wisdom,23000,1196000,1426319,Liverpool,2015
Cristian Gamboa,23000,1196000,1426319,West Bromwich,2015
Andre Wisdom,23000,1196000,1426319,Norwich,2015
Max-Alain Gradel,23000,1196000,1426319,Bournemouth,2015
Adama Traore,22500,1170000,1395312,Aston Villa,2015
Kieran Richardson,22500,1170000,1395312,Aston Villa,2015
Vito Mannone,22500,1170000,1395312,Sunderland,2015
Paddy McNair,22000,1144000,1364305,Manchester United,2015
Kristoffer Nordfeldt,22000,1144000,1364305,Swansea,2015
Ikechi Anya,22000,1144000,1364305,Watford,2015
Steven Berghuis,22000,1144000,1364305,Watford,2015
Alberto Paloschi,22000,1144000,1364305,Swansea,2015
Marvin Emnes,22000,1144000,1364305,Swansea,2015
Liam Moore,20000,1040000,1240277,Leicester,2015
Jack Butland,20000,1040000,1240277,Stoke City,2015
Ryan Mason,20000,1040000,1240277,Tottenham,2015
Gary O'Neil,20000,1040000,1240277,Norwich,2015
Daniel Amartey,20000,1040000,1240277,Leicester,2015
Cuco Martina,20000,1040000,1240277,Southampton,2015
Alex Pritchard,20000,1040000,1240277,West Bromwich,2015
Joel Robles,20000,1040000,1240277,Everton,2015
Tommy Elphick,20000,1040000,1240277,Bournemouth,2015
Patrick Bamford,20000,1040000,1240277,Crystal Palace,2015
Marcin Wasilewski,20000,1040000,1240277,Leicester,2015
Alex Pritchard,20000,1040000,1240277,Tottenham,2015
Harry Arter,20000,1040000,1240277,Bournemouth,2015
Andreas Pereira,20000,1040000,1240277,Manchester United,2015
Diafra Sakho,20000,1040000,1240277,West Ham,2015
Ayoze Perez,20000,1040000,1240277,Newcastle,2015
Leonardo Ulloa,20000,1040000,1240277,Leicester,2015
Serge Gnabry,20000,1040000,1240277,Arsenal,2015
Patrick Bamford,20000,1040000,1240277,Norwich,2015
Damien Delaney,20000,1040000,1240277,Crystal Palace,2015
Serge Gnabry,20000,1040000,1240277,West Bromwich,2015
Steven Whittaker,20000,1040000,1240277,Norwich,2015
Ezekiel Fryers,20000,1040000,1240277,Crystal Palace,2015
Kyle Lafferty,20000,1040000,1240277,Norwich,2015
Sebastien Pocognoli,20000,1040000,1240277,West Bromwich,2015
Wayne Hennessey,20000,1040000,1240277,Crystal Palace,2015
Dele Alli,20000,1040000,1240277,Tottenham,2015
Shay Given,20000,1040000,1240277,Stoke City,2015
Robert Elliot,20000,1040000,1240277,Newcastle,2015
Duncan Watmore,20000,1040000,1240277,Sunderland,2015
Nathan Ake,20000,1040000,1240277,Watford,2015
Demarai Gray,20000,1040000,1240277,Leicester,2015
Jordan Pickford,20000,1040000,1240277,Sunderland,2015
Sebastian Prodl,20000,1040000,1240277,Watford,2015
Robert Brady,20000,1040000,1240277,Norwich,2015
Patrick Bamford,20000,1040000,1240277,Chelsea,2015
Nathan Ake,20000,1040000,1240277,Chelsea,2015
Ryan Bennett,20000,1040000,1240277,Norwich,2015
Almen Abdi,19000,988000,1178263,Watford,2015
Boaz Myhill,18500,962000,1147256,West Bromwich,2015
Matt Ritchie,18000,936000,1116250,Bournemouth,2015
Tony Andreu,18000,936000,1116250,Norwich,2015
Paulo Gazzaniga,18000,936000,1116250,Southampton,2015
Wes Morgan,17500,910000,1085243,Leicester,2015
Mark Bunn,17500,910000,1085243,Aston Villa,2015
Andrew Surman,17000,884000,1054236,Bournemouth,2015
Allan-Romeo Nyom,17000,884000,1054236,Watford,2015
Ben Watson,17000,884000,1054236,Watford,2015
Kevin Stewart,16000,832000,992222,Liverpool,2015
Kelvin Davis,16000,832000,992222,Southampton,2015
Tommie Hoban,16000,832000,992222,Watford,2015
Tyrone Mings,16000,832000,992222,Bournemouth,2015
Simon Francis,15000,780000,930208,Bournemouth,2015
Modou Barrow,15000,780000,930208,Swansea,2015
DeAndre Yedlin,15000,780000,930208,Tottenham,2015
Kyle Bartley,15000,780000,930208,Swansea,2015
Callum Wilson,15000,780000,930208,Bournemouth,2015
Adam Smith,15000,780000,930208,Bournemouth,2015
Heurelho Gomes,15000,780000,930208,Watford,2015
Joel Ekstrand,15000,780000,930208,Watford,2015
Juan Carlos Paredes,15000,780000,930208,Watford,2015
Guillermo Varela,15000,780000,930208,Manchester United,2015
Jack Grealish,15000,780000,930208,Aston Villa,2015
Bertrand Traore,15000,780000,930208,Chelsea,2015
DeAndre Yedlin,15000,780000,930208,Sunderland,2015
Matt Miazga,15000,780000,930208,Chelsea,2015
Paul Dummett,15000,780000,930208,Newcastle,2015
Karl Darlow,15000,780000,930208,Newcastle,2015
Jamaal Lascelles,15000,780000,930208,Newcastle,2015
Brendan Galloway,15000,780000,930208,Everton,2015
Doneil Henry,15000,780000,930208,West Ham,2015
Ivo Pinto,13500,702000,837187,Norwich,2015
Steve Cook,13000,676000,806180,Bournemouth,2015
Joshua King,13000,676000,806180,Bournemouth,2015
Declan Rudd,13000,676000,806180,Norwich,2015
Craig Cathcart,13000,676000,806180,Watford,2015
Charlie Daniels,13000,676000,806180,Bournemouth,2015
Rhoys Wiggins,12500,650000,775173,Bournemouth,2015
Curtis Good,12000,624000,744166,Newcastle,2015
Adlene Guedioura,12000,624000,744166,Watford,2015
Jay Fulton,12000,624000,744166,Swansea,2015
Felipe Mattioni,12000,624000,744166,Everton,2015
Dan Gosling,12000,624000,744166,Bournemouth,2015
Marco Amelia,10712,557000,664264,Chelsea,2015
Obbi Oulare,10712,557000,664264,Watford,2015
Matt Grimes,10000,520000,620139,Swansea,2015
Junior Stanislas,10000,520000,620139,Bournemouth,2015
Sam Gallagher,10000,520000,620139,Southampton,2015
Brandon Barker,10000,520000,620139,Manchester City,2015
Harry Winks,10000,520000,620139,Tottenham,2015
Leandro Rodriguez,10000,520000,620139,Everton,2015
Jesse Lingard,10000,520000,620139,Manchester United,2015
Joao Teixeira,10000,520000,620139,Liverpool,2015
Joe Gomez,10000,520000,620139,Liverpool,2015
Kelechi Iheanacho,10000,520000,620139,Manchester City,2015
Will Keane,10000,520000,620139,Manchester United,2015
Stephane Zubar,10000,520000,620139,Bournemouth,2015
Jack Stephens,10000,520000,620139,Southampton,2015
Steve Harper,10000,520000,620139,Sunderland,2015
Harrison Reed,10000,520000,620139,Southampton,2015
Jakob Haugaard,10000,520000,620139,Stoke City,2015
Tom Carroll,10000,520000,620139,Tottenham,2015
Jake Kean,10000,520000,620139,Norwich,2015
Marc Pugh,9000,468000,558125,Bournemouth,2015
Eunan O'Kane,9000,468000,558125,Bournemouth,2015
Ruben Loftus-Cheek,8500,442000,527118,Chelsea,2015
Stephen Hendrie,8000,416000,496111,West Ham,2015
Tokelo Rantie,8000,416000,496111,Bournemouth,2015
Ben Hamer,8000,416000,496111,Leicester,2015
Sam Johnstone,8000,416000,496111,Manchester United,2015
Kenji Gorre,8000,416000,496111,Swansea,2015
Richard Wright,8000,416000,496111,Manchester City,2015
Jamal Blackman,8000,416000,496111,Chelsea,2015
Mason Holgate,7500,390000,465104,Everton,2015
Sean Murray,7500,390000,465104,Watford,2015
Shaun MacDonald,7000,364000,434097,Bournemouth,2015
David Faupala,6135,319000,380431,Manchester City,2015
Darren Randolph,6000,312000,372083,West Ham,2015
Tammy Abraham,6000,312000,372083,Chelsea,2015
Benjamin Siegrist,5500,286000,341076,Aston Villa,2015
Marcus Rashford,5000,260000,310069,Manchester United,2015
Joel Pereira,5000,260000,310069,Manchester United,2015
Liam Shephard,5000,260000,310069,Swansea,2015
Ivan Toney,5000,260000,310069,Newcastle,2015
Jiang Guangtai,5000,260000,310069,Everton,2015
Tosin Adarabioyo,5000,260000,310069,Manchester City,2015
Kyle Walker-Peters,5000,260000,310069,Tottenham,2015
Dionatan Teixeira,5000,260000,310069,Stoke City,2015
Luke McGee,5000,260000,310069,Tottenham,2015
Sean Goss,5000,260000,310069,Manchester United,2015
Aleix Garcia,5000,260000,310069,Manchester City,2015
Rolando Aarons,5000,260000,310069,Newcastle,2015
Kasey Palmer,5000,260000,310069,Chelsea,2015
Rees Greenwood,4000,208000,248055,Sunderland,2015
Raphael Spiegel,4000,208000,248055,West Ham,2015
Brad Smith,4000,208000,248055,Liverpool,2015
Ryan Seager,4000,208000,248055,Southampton,2015
Danny Ward,3500,182000,217049,Liverpool,2015
Josh Vickers,3500,182000,217049,Swansea,2015
Sheyi Ojo,3000,156000,186042,Liverpool,2015
James Weir,3000,156000,186042,Manchester United,2015
Jordan Brown,3000,156000,186042,West Ham,2015
Stephen Kingsley,3000,156000,186042,Swansea,2015
Tom Davies,3000,156000,186042,Everton,2015
Ola Aina,2500,130000,155035,Chelsea,2015
Matthew Pennington,2500,130000,155035,Everton,2015
Jack Rose,2000,104000,124028,West Bromwich,2015
Cameron Brannagan,2000,104000,124028,Liverpool,2015
Bradley Watkins,2000,104000,124028,Aston Villa,2015
Joe Rothwell,2000,104000,124028,Manchester United,2015
Connor Randall,2000,104000,124028,Liverpool,2015
Bersant Celina,2000,104000,124028,Manchester City,2015
Ismael Bennacer,2000,104000,124028,Arsenal,2015
Jerell Sellars,2000,104000,124028,Aston Villa,2015
Alex Iwobi,2000,104000,124028,Arsenal,2015
Rene Gilmartin,1846,96000,114487,Watford,2015
George Glendon,1500,78000,93021,Manchester City,2015
Freddie Woodman,1500,78000,93021,Newcastle,2015
Jerome Sinclair,1500,78000,93021,Liverpool,2015
Pedro Chirivella,1500,78000,93021,Liverpool,2015
George Waring,1500,78000,93021,Stoke City,2015
Jake Clarke-Salter,1500,78000,93021,Chelsea,2015
Kevin Toner,1500,78000,93021,Aston Villa,2015
Jordan Rossiter,1500,78000,93021,Liverpool,2015
Jordan Lyden,1500,78000,93021,Aston Villa,2015
Ryan Kent,1500,78000,93021,Liverpool,2015
Joe Maguire,1500,78000,93021,Liverpool,2015
George Dobson,1500,78000,93021,West Ham,2015
Donald Love,1500,78000,93021,Manchester United,2015
Hiram Boateng,1308,68000,81095,Crystal Palace,2015
Angelino,1200,62400,74417,Manchester City,2015
Kwesi Appiah,1192,62000,73940,Crystal Palace,2015
Daniel Bachmann,1192,62000,73940,Stoke City,2015
Kevin Mbabu,1192,62000,73940,Newcastle,2015
Sullay Kaikai,1192,62000,73940,Crystal Palace,2015
Jindrich Stanek,1000,52000,62014,Everton,2015
Luke Brattan,1000,52000,62014,Manchester City,2015
Djair Parfitt-Williams,1000,52000,62014,West Ham,2015
Luke Croll,1000,52000,62014,Crystal Palace,2015
Matt Macey,1000,52000,62014,Arsenal,2015
Alex Pike,1000,52000,62014,West Ham,2015
Charlie Colkett,1000,52000,62014,Chelsea,2015
Cameron Borthwick-Jackson,1000,52000,62014,Manchester United,2015
Remi Matthews,1000,52000,62014,Norwich,2015
Dean Henderson,1000,52000,62014,Manchester United,2015
Josh Wakefield,904,47000,56051,Bournemouth,2015
Callum Connolly,904,47000,56051,Everton,2015
Kieran Dowell,904,47000,56051,Everton,2015
Jonjoe Kenny,808,42000,50088,Everton,2015
George Honeyman,808,42000,50088,Sunderland,2015
Connor Dymond,808,42000,50088,Crystal Palace,2015
Jonny Maddison,750,39000,46510,Leicester,2015
Jacob Blyth,750,39000,46510,Leicester,2015
Leo Chambers,750,39000,46510,West Ham,2015
Joe Rodon,750,39000,46510,Swansea,2015
Daniel James,750,39000,46510,Swansea,2015
Joe Riley,750,39000,46510,Manchester United,2015
Lewis Page,692,36000,42933,West Ham,2015
Amos Nasha,654,34000,40548,West Ham,2015
Josh Cullen,596,31000,36970,West Ham,2015
Nathan Mavila,596,31000,36970,West Ham,2015
Oliver Shenton,500,26000,31007,Stoke City,2015
Lynden Gooch,500,26000,31007,Sunderland,2015
Shaun Donnellan,500,26000,31007,West Bromwich,2015
Jordan Green,500,26000,31007,Bournemouth,2015
Callum Williams,500,26000,31007,Newcastle,2015
Niall Mason,500,26000,31007,Aston Villa,2015
James Horsfield,500,26000,31007,Manchester City,2015
Jamie Sterry,500,26000,31007,Newcastle,2015
Tom Beadling,500,26000,31007,Sunderland,2015
Callum Buckley,404,21000,25044,Bournemouth,2015
Matt Butcher,404,21000,25044,Bournemouth,2015
Jordan Holmes,400,20800,24806,Bournemouth,2015
Sam Surridge,400,20800,24806,Bournemouth,2015
Reece Oxford,400,20800,24806,West Ham,2015
Sam Field,400,20800,24806,West Bromwich,2015
Conor Masterson,400,20800,24806,Liverpool,2015
Josh Robson,400,20800,24806,Sunderland,2015
Chris Willock,400,20800,24806,Arsenal,2015
Timothy Fosu-Mensah,400,20800,24806,Manchester United,2015
Axel Tuanzebe,400,20800,24806,Manchester United,2015
Krystian Bielik,400,20800,24806,Arsenal,2015
Corey Jordan,400,20800,24806,Bournemouth,2015
Cameron Humphreys,400,20800,24806,Manchester City,2015
Sam Howes,400,20800,24806,West Ham,2015
Marius Adamonis,400,20800,24806,Bournemouth,2015
Luke Dreher,400,20800,24806,Crystal Palace,2015
Ben Sheaf,400,20800,24806,Arsenal,2015
Olufela Olomola,400,20800,24806,Southampton,2015
Manu Garcia,400,20800,24806,Manchester City,2015
Kyle Edwards,400,20800,24806,West Bromwich,2015
Jack Simpson,400,20800,24806,Bournemouth,2015
Corey Blackett-Taylor,400,20800,24806,Aston Villa,2015
Marcus Browne,400,20800,24806,West Ham,2015
Cameron Carter-Vickers,400,20800,24806,Tottenham,2015
Joe Quigley,400,20800,24806,Bournemouth,2015
Easah Suliman,400,20800,24806,Aston Villa,2015
Jonathan Leko,400,20800,24806,West Bromwich,2015
Joe Ward,400,20800,24806,West Bromwich,2015
Josh Pask,400,20800,24806,West Ham,2015
Liam Gibson,400,20800,24806,Newcastle,2015
Keinan Davis,400,20800,24806,Aston Villa,2015
Regan Poole,400,20800,24806,Manchester United,2015
Tyler Roberts,400,20800,24806,West Bromwich,2015
Andre Green,400,20800,24806,Aston Villa,2015
Jordan Lee,400,20800,24806,Bournemouth,2015
Ben Chilwell,400,20800,24806,Leicester,2015
Rushian Hepburn-Murphy,400,20800,24806,Aston Villa,2015
Ro-Shaun Williams,400,20800,24806,Manchester United,2015
Fikayo Tomori,400,20800,24806,Chelsea,2015
Liam Bridcutt,0,0,0,Sunderland,2015
Sergi Canos,0,0,0,Liverpool,2015
Chicharito,0,0,0,Manchester United,2015
Ryan Fulton,0,0,0,Liverpool,2015
James Wilson,0,0,0,Manchester United,2015
Lawrence Vigouroux,0,0,0,Liverpool,2015
Nick Powell,0,0,0,Manchester United,2015
Dan Cleary,0,0,0,Liverpool,2015
Tyler Blackett,0,0,0,Manchester United,2015
Victor Valdes,0,0,0,Manchester United,2015
Adam Armstrong,0,0,0,Newcastle,2015
Cheick Tiote,0,0,0,Newcastle,2015
Dan Barlaser,0,0,0,Newcastle,2015
Yohan Benalouane,0,0,0,Leicester,2015
Tom Lawrence,0,0,0,Leicester,2015
Florian Thauvin,0,0,0,Newcastle,2015
Ritchie De Laet,0,0,0,Leicester,2015
Gael Bigirimana,0,0,0,Newcastle,2015
Paul Konchesky,0,0,0,Leicester,2015
Haris Vuckic,0,0,0,Newcastle,2015
Massadio Haidara,0,0,0,Newcastle,2015
Mike Williamson,0,0,0,Newcastle,2015
Papiss Cisse,0,0,0,Newcastle,2015
Sammy Ameobi,0,0,0,Newcastle,2015
Joseph Dodoo,0,0,0,Leicester,2015
Harry Panayiotou,0,0,0,Leicester,2015
Dean Hammond,0,0,0,Leicester,2015
Chuba Akpom,0,0,0,Arsenal,2015
Bradley Johnson,0,0,0,Norwich,2015
Mauro Zarate,0,0,0,West Ham,2015
Conor McGrandles,0,0,0,Norwich,2015
Elliott Bennett,0,0,0,Norwich,2015
Gary Hooper,0,0,0,Norwich,2015
Andre Olukanmi,0,0,0,Leicester,2015
Harry Toffolo,0,0,0,Norwich,2015
Jacob Murphy,0,0,0,Norwich,2015
Jamar Loza,0,0,0,Norwich,2015
James Maddison,0,0,0,Norwich,2015
Jonny Howson,0,0,0,Norwich,2015
Josh Murphy,0,0,0,Norwich,2015
Louis Thompson,0,0,0,Norwich,2015
Oumar Niasse,0,0,0,Everton,2015
Michael Turner,0,0,0,Norwich,2015
Modibo Maiga,0,0,0,West Ham,2015
Ricky van Wolfswinkel,0,0,0,Norwich,2015
Morgan Amalfitano,0,0,0,West Ham,2015
Luke Garbutt,0,0,0,Everton,2015
Vadis Odjidja-Ofoe,0,0,0,Norwich,2015
Wesley Hoolahan,0,0,0,Norwich,2015
Cedric Soares,0,0,0,Southampton,2015
Gaston Ramirez,0,0,0,Southampton,2015
Conor McAleny,0,0,0,Everton,2015
Jason McCarthy,0,0,0,Southampton,2015
Jay Rodriguez,0,0,0,Southampton,2015
Jordan Turnbull,0,0,0,Southampton,2015
Conor Grant,0,0,0,Everton,2015
Lloyd Isgrove,0,0,0,Southampton,2015
Matt Targett,0,0,0,Southampton,2015
Aiden McGeady,0,0,0,Everton,2015
Sam McQueen,0,0,0,Southampton,2015
Patrick McCarthy,0,0,0,Crystal Palace,2015
Bojan,0,0,0,Stoke City,2015
Jonny Williams,0,0,0,Crystal Palace,2015
Jerome Binnom-Williams,0,0,0,Crystal Palace,2015
Jake Gray,0,0,0,Crystal Palace,2015
Tomas Kalas,0,0,0,Chelsea,2015
Nikica Jelavic,0,0,0,West Ham,2015
Marco van Ginkel,0,0,0,Stoke City,2015
Ramires,0,0,0,Chelsea,2015
Mohamed El Ouriachi,0,0,0,Stoke City,2015
Papy Djilobodji,0,0,0,Chelsea,2015
Michael Hector,0,0,0,Chelsea,2015
Steve Sidwell,0,0,0,Stoke City,2015
Lucas Piazon,0,0,0,Chelsea,2015
Juan Cuadrado,0,0,0,Chelsea,2015
Charalampos Mavrias,0,0,0,Sunderland,2015
John Obi Mikel,0,0,0,Chelsea,2015
Danny Graham,0,0,0,Sunderland,2015
Emanuele Giaccherini,0,0,0,Sunderland,2015
Abdul Rahman Baba,0,0,0,Chelsea,2015
Jordi Gomez,0,0,0,Sunderland,2015
Yann Kermorgant,0,0,0,Bournemouth,2015
Max Stryjek,0,0,0,Sunderland,2015
Mikael Mandron,0,0,0,Sunderland,2015
Reece Burke,0,0,0,West Ham,2015
Sebastian Coates,0,0,0,Sunderland,2015
Steven Fletcher,0,0,0,Sunderland,2015
Thomas Robson,0,0,0,Sunderland,2015
William Buckley,0,0,0,Sunderland,2015
Younes Kaboul,0,0,0,Sunderland,2015
Ryan Fraser,0,0,0,Bournemouth,2015
Ryan Allsop,0,0,0,Bournemouth,2015
Connor Roberts,0,0,0,Swansea,2015
Daniel Alfei,0,0,0,Swansea,2015
Eder,0,0,0,Swansea,2015
Franck Tabanou,0,0,0,Swansea,2015
Gerhard Tremmel,0,0,0,Swansea,2015
Gylfi Sigurdsson,0,0,0,Swansea,2015
Lee Tomlin,0,0,0,Bournemouth,2015
Ki Sung-Yueng,0,0,0,Swansea,2015
Joe Bennett,0,0,0,Bournemouth,2015
Clinton N'Jie,0,0,0,Tottenham,2015
