,Player Id,Name,Birth Year,Age,Team,Position,year
100,831,Richard Dunne,1980,34,QPR,Defender,2014
101,101593,Sammy Ameobi,1992,22,Newcastle,Forward,2014
102,69933,Toby Alderweireld,1989,25,Southampton,Defender,2014
103,109915,Sadio Mane,1992,22,Southampton,Forward,2014
104,6292,Per Mertesacker,1985,29,Arsenal,Defender,2014
105,75830,Erik Lamela,1992,22,Tottenham,Midfielder,2014
106,68852,Eliaquim Mangala,1991,23,Man City,Defender,2014
107,36745,David Ospina,1989,25,Arsenal,Goalkeeper,2014
108,21778,Jan Vertonghen,1987,27,Tottenham,Defender,2014
109,2115,Michael Carrick,1981,33,Man Utd,Midfielder,2014
110,27550,Kieran Gibbs,1990,24,Arsenal,Defender,2014
111,69844,Yannick Bolasie,1989,25,Crystal Palace,Forward,2014
112,29575,Mamadou Sakho,1990,24,Liverpool,Defender,2014
113,3165,Brede Hangeland,1981,33,Crystal Palace,Defender,2014
114,111212,Emre Can,1994,20,Liverpool,Midfielder,2014
115,43105,Joel Ward,1990,24,Crystal Palace,Defender,2014
116,69375,Nathaniel Clyne,1991,23,Southampton,Defender,2014
118,8247,Mark Noble,1987,27,West Ham,Midfielder,2014
119,19277,Winston Reid,1988,26,West Ham,Defender,2014
120,70,John Terry,1981,33,Chelsea,Defender,2014
121,17909,Graziano Pelle,1985,29,Southampton,Forward,2014
122,70285,James Chester,1989,25,Hull,Defender,2014
123,8131,Michael Duff,1978,36,Burnley,Defender,2014
124,5840,Martin Demichelis,1981,33,Man City,Defender,2014
125,4511,James Milner,1986,28,Man City,Midfielder,2014
126,137521,Nabil Bentaleb,1995,19,Tottenham,Midfielder,2014
127,14805,Younes Kaboul,1986,28,Tottenham,Defender,2014
128,29463,Willian,1988,26,Chelsea,Forward,2014
129,22846,Ryan Bertrand,1989,25,Southampton,Defender,2014
130,24148,Erik Pieters,1988,26,Stoke,Defender,2014
131,11235,Sebastian Larsson,1985,29,Sunderland,Midfielder,2014
132,39935,Steven Nzonzi,1989,25,Stoke,Midfielder,2014
133,23736,Daniel Sturridge,1990,24,Liverpool,Forward,2014
134,5641,Stewart Downing,1984,30,West Ham,Midfielder,2014
135,23110,Angel Di Maria,1988,26,Man Utd,Midfielder,2014
136,124316,Calum Chambers,1995,19,Arsenal,Defender,2014
137,9474,Antolin Alcaraz,1982,32,Everton,Defender,2014
138,9156,Jason Puncheon,1986,28,Crystal Palace,Midfielder,2014
139,85693,Remy Cabella,1990,24,Newcastle,Midfielder,2014
140,31856,Ritchie De Laet,1989,25,Leicester,Defender,2014
141,14038,Craig Gardner,1987,27,WBA,Midfielder,2014
143,82102,Charlie Austin,1989,25,QPR,Forward,2014
144,29474,Dusan Tadic,1989,25,Southampton,Forward,2014
145,29106,Dejan Lovren,1989,25,Liverpool,Defender,2014
146,9446,Jesus Navas,1986,28,Man City,Defender,2014
147,33878,Mauricio Isla,1988,26,QPR,Defender,2014
148,14524,Mauro Zarate,1987,27,West Ham,Forward,2014
149,9838,Esteban Cambiasso,1980,34,Leicester,Midfielder,2014
150,38772,Geoff Cameron,1985,29,Stoke,Defender,2014
151,107395,Jack Butland,1993,21,Stoke,Goalkeeper,2014
152,69778,Kyle Walker,1990,24,Tottenham,Defender,2014
153,85059,Wilfried Zaha,1993,21,Crystal Palace,Forward,2014
154,8773,Gareth McAuley,1980,34,WBA,Defender,2014
155,75177,Marc Muniesa,1992,22,Stoke,Defender,2014
156,10599,Alexandre Song,1988,26,West Ham,Midfielder,2014
157,31451,Lucas Leiva,1987,27,Liverpool,Midfielder,2014
158,11981,Gary Cahill,1986,28,Chelsea,Defender,2014
159,99487,Harry Maguire,1993,21,Hull,Defender,2014
160,12124,Scott Dann,1987,27,Crystal Palace,Defender,2014
