Rank,Name,Position,Team,Weekly Salary,year
112.0,Wayne Routledge,Midfielder,SCAFC,36000,2014
114.0,Andrew Surman,Midfielder,BOU,35000,2014
114.0,Fraizer Campbell,Forward,CP,35000,2014
114.0,Lazar Markovic,Forward,LFC,35000,2014
114.0,Vurnon Anita,Defender,NUFC,35000,2014
114.0,Jack Colback,Midfielder,NUFC,35000,2014
114.0,Yoan Gouffran,Midfielder,NUFC,35000,2014
114.0,Emmanuel Riviere,Forward,NUFC,35000,2014
114.0,Jack Cork,Midfielder,SCAFC,35000,2014
122.0,Stephen Ireland,Midfielder,SCFC,33000,2014
123.0,Kyle Naughton,Defender,SCAFC,32000,2014
124.0,Phil Bardsley,Defender,SCFC,31000,2014
125.0,Karim El Ahmadi,Midfielder,AVFC,30769,2014
126.0,Josh McEachran,Midfielder,CFC,30062,2014
127.0,Joel Campbell,Forward,AFC,30000,2014
127.0,Francis Coquelin,Midfielder,AFC,30000,2014
127.0,Carl Jenkinson,Defender,AFC,30000,2014
127.0,Andreas Weimann,Forward,AVFC,30000,2014
127.0,Raheem Sterling,Forward,LFC,30000,2014
127.0,Florin Gardos,Defender,SFC,30000,2014
127.0,Diafra Sakho,Forward,WHUFC,30000,2014
134.0,Joe Bennett,Defender,AVFC,28317,2014
135.0,Jordon Mutch,Midfielder,CP,28000,2014
135.0,Maya Yoshida,Defender,SFC,28000,2014
135.0,Callum McManaman,Forward,WBAFC,28000,2014
138.0,Leonardo Ulloa,Forward,LC,27000,2014
139.0,Toni Luna,Defender,AVFC,26282,2014
140.0,Ashley Westwood,Midfielder,AVFC,25739,2014
141.0,Martin Kelly,Defender,CP,25000,2014
141.0,Joe Ledley,Midfielder,CP,25000,2014
141.0,Chung-Yong Lee,Forward,CP,25000,2014
141.0,Muhamed Besic,Midfielder,EFC,25000,2014
141.0,Arouna Kone,Forward,EFC,25000,2014
141.0,James McCarthy,Midfielder,EFC,25000,2014
141.0,Matty James,Midfielder,LC,25000,2014
141.0,Bruno Zuculini,Midfielder,MCFC,25000,2014
141.0,Karl Darlow,Goalkeeper,NUFC,25000,2014
141.0,Dele Alli,Midfielder,THFC,25000,2014
151.0,Aleksandar Tonev,Midfielder,AVFC,23558,2014
152.0,Mario Pasalic,Midfielder,CFC,23000,2014
152.0,Brendan Galloway,Defender,EFC,23000,2014
154.0,Michael Keane,Defender,BFC,22000,2014
155.0,Joe Cole,Midfielder,AVFC,21154,2014
156.0,Leandro Bacuna,Midfielder,AVFC,20641,2014
157.0,Yacouba Sylla,Midfielder,AVFC,20144,2014
158.0,Nathan Ake,Defender,CFC,20041,2014
159.0,Serge Gnabry,Forward,AFC,20025,2014
160.0,Dan Gosling,Midfielder,BOU,20000,2014
160.0,Chuba Akpom,Forward,AFC,20000,2014
160.0,Yaya Sanogo,Forward,AFC,20000,2014
160.0,George Boyd,Midfielder,BFC,20000,2014
160.0,Lewis Baker,Midfielder,CFC,20000,2014
160.0,Isaiah Brown,Forward,CFC,20000,2014
160.0,Kenneth Omeruo,Defender,CFC,20000,2014
160.0,Zeki Fryers,Defender,CP,20000,2014
160.0,Wayne Hennessey,Goalkeeper,CP,20000,2014
160.0,Joel Robles,Goalkeeper,EFC,20000,2014
160.0,Andreas Pereira,Midfielder,MUFC,20000,2014
